"company_holding_id";"company_holding_start_date";"company_holding_end_date";"company_holding_date_approx";"company_holding_parent_company_id";"company_holding_child_company_id";"company_holding_stake_percent"
1;NULL;NULL;0;11;12;100.00
2;NULL;NULL;0;10;11;100.00
3;NULL;NULL;0;4;5;100.00
4;NULL;NULL;0;35;4;100.00
5;NULL;NULL;0;25;35;65.00
6;NULL;NULL;0;36;35;35.00
7;NULL;NULL;0;31;30;100.00
8;NULL;NULL;0;32;31;100.00
9;NULL;NULL;0;16;15;80.00
10;NULL;NULL;0;37;15;20.00
11;NULL;'2012-12-18';0;19;18;85.00
12;'2012-12-18';NULL;0;1;18;85.00
13;NULL;NULL;0;28;27;50.00
14;NULL;NULL;0;7;27;50.00
15;NULL;NULL;0;8;7;100.00
